ZipCode|ZipCodeType|City|State|Lattitude|Longitude|Location
58030|Standard|Fairmount|ND|46.05|-96.60|NA-US-ND-FAIRMOUNT
58031|Standard|Fingal|ND|46.76|-97.79|NA-US-ND-FINGAL
58032|Standard|Forman|ND|46.10|-97.63|NA-US-ND-FORMAN
58033|Standard|Fort Ransom|ND|46.52|-97.93|NA-US-ND-FORT RANSOM
58035|Standard|Galesburg|ND|47.27|-97.40|NA-US-ND-GALESBURG
58036|Standard|Gardner|ND|47.14|-96.96|NA-US-ND-GARDNER
58038|Standard|Grandin|ND|47.23|-97.00|NA-US-ND-GRANDIN
58040|Standard|Gwinner|ND|46.22|-97.65|NA-US-ND-GWINNER
58041|Standard|Hankinson|ND|46.07|-96.89|NA-US-ND-HANKINSON
58042|Standard|Harwood|ND|46.98|-96.87|NA-US-ND-HARWOOD
58043|Standard|Havana|ND|45.95|-97.61|NA-US-ND-HAVANA
58045|Standard|Hillsboro|ND|47.40|-97.06|NA-US-ND-HILLSBORO
58046|Standard|Hope|ND|47.32|-97.71|NA-US-ND-HOPE
58047|Standard|Horace|ND|46.75|-96.90|NA-US-ND-HORACE
58048|Standard|Hunter|ND|47.19|-97.21|NA-US-ND-HUNTER
58049|Standard|Kathryn|ND|46.67|-97.96|NA-US-ND-KATHRYN
58051|Standard|Kindred|ND|46.65|-97.02|NA-US-ND-KINDRED
58052|Standard|Leonard|ND|46.65|-97.24|NA-US-ND-LEONARD
58053|Standard|Lidgerwood|ND|46.07|-97.14|NA-US-ND-LIDGERWOOD
58054|Standard|Lisbon|ND|46.43|-97.68|NA-US-ND-LISBON
58056|Standard|Luverne|ND|47.25|-97.93|NA-US-ND-LUVERNE
58057|Standard|McLeod|ND|46.39|-97.29|NA-US-ND-MCLEOD
58058|Standard|Mantador|ND|46.16|-96.97|NA-US-ND-MANTADOR
58059|Standard|Mapleton|ND|46.89|-97.05|NA-US-ND-MAPLETON
58060|Standard|Milnor|ND|46.26|-97.45|NA-US-ND-MILNOR
58061|Standard|Mooreton|ND|46.26|-96.87|NA-US-ND-MOORETON
58062|Standard|Nome|ND|46.67|-97.81|NA-US-ND-NOME
58063|Standard|Oriska|ND|46.93|-97.78|NA-US-ND-ORISKA
58064|Standard|Page|ND|47.15|-97.57|NA-US-ND-PAGE
58065|Standard|Pillsbury|ND|47.20|-97.79|NA-US-ND-PILLSBURY
58067|Standard|Rutland|ND|46.05|-97.50|NA-US-ND-RUTLAND
58068|Standard|Sheldon|ND|46.58|-97.49|NA-US-ND-SHELDON
58069|Standard|Stirum|ND|46.21|-97.80|NA-US-ND-STIRUM
58071|Standard|Tower City|ND|46.92|-97.67|NA-US-ND-TOWER CITY
58072|Standard|Valley City|ND|46.92|-98.00|NA-US-ND-VALLEY CITY
58074|PO Box|Wahpeton|ND|46.26|-96.60|NA-US-ND-WAHPETON
58075|Standard|Wahpeton|ND|46.26|-96.60|NA-US-ND-WAHPETON
58076|Unique|Wahpeton|ND|46.26|-96.60|NA-US-ND-WAHPETON
58077|Standard|Walcott|ND|46.55|-96.93|NA-US-ND-WALCOTT
58078|Standard|West Fargo|ND|46.87|-96.89|NA-US-ND-WEST FARGO
58079|Standard|Wheatland|ND|46.90|-97.34|NA-US-ND-WHEATLAND
58081|Standard|Wyndmere|ND|46.26|-97.13|NA-US-ND-WYNDMERE
58102|Standard|Fargo|ND|46.87|-96.81|NA-US-ND-FARGO
58103|Standard|Fargo|ND|46.87|-96.81|NA-US-ND-FARGO
58104|Standard|Fargo|ND|46.87|-96.81|NA-US-ND-FARGO
58105|PO Box|Fargo|ND|46.87|-96.81|NA-US-ND-FARGO
58106|PO Box|Fargo|ND|46.87|-96.81|NA-US-ND-FARGO
58107|PO Box|Fargo|ND|46.87|-96.81|NA-US-ND-FARGO
58108|PO Box|Fargo|ND|46.87|-96.81|NA-US-ND-FARGO
58109|PO Box|Fargo|ND|46.87|-96.81|NA-US-ND-FARGO
58121|Unique|Fargo|ND|46.87|-96.81|NA-US-ND-FARGO
58122|Unique|Fargo|ND|46.87|-96.81|NA-US-ND-FARGO
58124|Unique|Fargo|ND|46.87|-96.81|NA-US-ND-FARGO
58125|Unique|Fargo|ND|46.87|-96.81|NA-US-ND-FARGO
58126|Unique|Fargo|ND|46.87|-96.81|NA-US-ND-FARGO
58201|Standard|Grand Forks|ND|47.91|-97.07|NA-US-ND-GRAND FORKS
58202|Standard|Grand Forks|ND|47.91|-97.07|NA-US-ND-GRAND FORKS
58203|Standard|Grand Forks|ND|47.91|-97.07|NA-US-ND-GRAND FORKS
58204|Standard|Grand Forks Afb|ND|47.96|-97.38|NA-US-ND-GRAND FORKS AFB
58205|Standard|Grand Forks Afb|ND|47.96|-97.38|NA-US-ND-GRAND FORKS AFB
58206|PO Box|Grand Forks|ND|47.91|-97.07|NA-US-ND-GRAND FORKS
58207|Unique|Grand Forks|ND|47.91|-97.07|NA-US-ND-GRAND FORKS
58208|PO Box|Grand Forks|ND|47.91|-97.07|NA-US-ND-GRAND FORKS
58210|Standard|Adams|ND|48.41|-98.07|NA-US-ND-ADAMS
58212|Standard|Aneta|ND|47.67|-97.98|NA-US-ND-ANETA
58214|Standard|Arvilla|ND|47.91|-97.49|NA-US-ND-ARVILLA
58216|Standard|Bathgate|ND|48.88|-97.47|NA-US-ND-BATHGATE
58218|Standard|Buxton|ND|47.60|-97.09|NA-US-ND-BUXTON
58219|Standard|Caledonia|ND|47.45|-96.88|NA-US-ND-CALEDONIA
58220|Standard|Cavalier|ND|48.79|-97.62|NA-US-ND-CAVALIER
58222|Standard|Crystal|ND|48.59|-97.66|NA-US-ND-CRYSTAL
58223|Standard|Cummings|ND|47.51|-97.07|NA-US-ND-CUMMINGS
58224|Standard|Dahlen|ND|48.15|-97.92|NA-US-ND-DAHLEN
58225|Standard|Drayton|ND|48.56|-97.17|NA-US-ND-DRAYTON
58227|Standard|Edinburg|ND|48.49|-97.86|NA-US-ND-EDINBURG
58228|Standard|Emerado|ND|47.92|-97.36|NA-US-ND-EMERADO
58229|Standard|Fairdale|ND|48.48|-98.23|NA-US-ND-FAIRDALE
58230|Standard|Finley|ND|47.51|-97.83|NA-US-ND-FINLEY
58231|Standard|Fordville|ND|48.21|-97.79|NA-US-ND-FORDVILLE
58233|Standard|Forest River|ND|48.21|-97.47|NA-US-ND-FOREST RIVER
58235|Standard|Gilby|ND|48.08|-97.46|NA-US-ND-GILBY
58236|Standard|Glasston|ND|48.70|-97.44|NA-US-ND-GLASSTON
58237|Standard|Grafton|ND|48.41|-97.40|NA-US-ND-GRAFTON
58238|Standard|Hamilton|ND|48.80|-97.45|NA-US-ND-HAMILTON
58239|Standard|Hannah|ND|48.97|-98.69|NA-US-ND-HANNAH
58240|Standard|Hatton|ND|47.63|-97.45|NA-US-ND-HATTON
58241|Standard|Hensel|ND|48.68|-97.66|NA-US-ND-HENSEL
58243|Standard|Hoople|ND|48.53|-97.63|NA-US-ND-HOOPLE
58244|Standard|Inkster|ND|48.15|-97.64|NA-US-ND-INKSTER
58249|Standard|Langdon|ND|48.76|-98.37|NA-US-ND-LANGDON
58250|Standard|Lankin|ND|48.31|-97.92|NA-US-ND-LANKIN
58251|Standard|Larimore|ND|47.90|-97.62|NA-US-ND-LARIMORE
58254|Standard|McVille|ND|47.76|-98.17|NA-US-ND-MCVILLE
58255|Standard|Maida|ND|48.99|-98.36|NA-US-ND-MAIDA
58256|Standard|Manvel|ND|48.07|-97.17|NA-US-ND-MANVEL
58257|Standard|Mayville|ND|47.50|-97.32|NA-US-ND-MAYVILLE
58258|Standard|Mekinock|ND|48.01|-97.36|NA-US-ND-MEKINOCK
58259|Standard|Michigan|ND|48.02|-98.11|NA-US-ND-MICHIGAN
58260|Standard|Milton|ND|48.62|-98.04|NA-US-ND-MILTON
58261|Standard|Minto|ND|48.29|-97.37|NA-US-ND-MINTO
58262|Standard|Mountain|ND|48.68|-97.86|NA-US-ND-MOUNTAIN
58265|Standard|Neche|ND|48.98|-97.55|NA-US-ND-NECHE
58266|Standard|Niagara|ND|47.99|-97.87|NA-US-ND-NIAGARA
58267|Standard|Northwood|ND|47.73|-97.56|NA-US-ND-NORTHWOOD
58269|Standard|Osnabrock|ND|48.67|-98.14|NA-US-ND-OSNABROCK
58270|Standard|Park River|ND|48.39|-97.74|NA-US-ND-PARK RIVER
58271|Standard|Pembina|ND|48.96|-97.24|NA-US-ND-PEMBINA
58272|Standard|Petersburg|ND|48.01|-97.99|NA-US-ND-PETERSBURG
58273|Standard|Pisek|ND|48.31|-97.71|NA-US-ND-PISEK
