RoutingNumber|TelegraphicName|CustomerName|City|State|ZipCode
021081448|Veriges Ops Acct1|Sveriges Riksbank-Oper Account 1|New York|NY|
021081451|Ussi Ops Acct 1|Reserve Bk of Australia-Oper Acct 1|New York|NY|
021081464|Frican Dev.Fund|African Development Fund-Gen Account|New York|NY|
021081477|Frican Db Gl Fund|African Development Bk Fund for Glr|New York|NY|
021081493|Eorgia Usaid Acct|Natl Bank of Georgia Usaid Account|New York|NY|
021081503|Ingapore Ops|Singapore Ops Acct 1|New York|NY|
021081516|Orea Ops Acct 1|Bank of Korea-Operations Account 1|New York|NY|
021081529|Ambia Ramp|Bank of Zambia-Ramp Account|New York|NY|
021081532|Cb Slovakia|Ecb Acct Sk, Natl Bk of Slovakia|New York|NY|
021081545|Zealand Ops Acct1|New Zealand Ops Acct1|New York|NY|
021081558|Ustria Ops Acct 1|Oesterreichische Natlbank Ops Acct 1|New York|NY|
021081561|Elgium Ops Acct1|Banque Natl. De Belgique Ops Acct 1|New York|NY|
021081574|Yprus Ops Acct1|Central Bank of Cyprus-Ops Acct 1|New York|NY|
021081587|Inland Ops Acct1|Suomen Pankki Finlands Bk Ops Acct 1|New York|NY|
021081590|Lrp Wash|Dlrp Wash Account|New York|NY|
021081613|Rance Ops Acct1|Banque De France - Ops Acct 1|New York|NY|
021081626|Ermany Ops Acct1|Deutsche Bundesbank Oper Acct 1|New York|NY|
021081639|Reece Ops Acct1|Banque De Grece Ops Acct 1.|New York|NY|
021081642|Reland Ops Acct1|Cent Bk of Ireland Ops Acct 1|New York|NY|
021081655|Taly Ops Acct 1|Banca DItalia Ops Acct 1|New York|NY|
021081668|Uxembourg Opsact1|Cb Luxembourg Ops Acct 1|New York|NY|
021081671|Alta Ops Acct 1|Central Bank of Malta Ops Acct 1|New York|NY|
021081684|Etherlands Ops1|De Nederlandsche Bank Nv Ops Acct 1|New York|NY|
021081697|Ortugal Ops Acct1|Banco De Portugal Ops Acct 1|New York|NY|
021081710|Osnia Cb|Central Bank of Bosnia and Herzegovi|New York|NY|
