RoutingNumber|TelegraphicName|CustomerName|City|State|ZipCode
111907348|Irst Moody|First National Bank of Moody, the|Moody|TX|
111907429|Pring Hill St Bk|Spring Hill State Bank|Longview|TX|
111907445|Ompass Bk Richard|Compass Bank|Houston|TX|
111907490|Akwood Bank|Oakwood Bank|Dallas|TX|
111907555|Nterbank|Interbank|Oklahoma City|OK|
111907694|Irst Saint Jo|First State Bank|Saint Jo|TX|
111907717|Irst Celeste|First Bank of Celeste|Celeste|TX|
111907775|Itz St Bk Buffalo|Citizens State Bank|Buffalo|TX|
111907788|St Bk Burkburnett|First Bank|Burkburnett|TX|
111907827|Irst Edgewood|First National Bank|Edgewood|TX|
111907872|Erc Bk Ft Worth|State National Bank|Fort Worth|TX|
111907940|Orizon Bk Austin|Horizon Bank, Ssb|Austin|TX|
111907979|Exas Bk Financial|Texas Bank Financial|Weatherford|TX|
111908004|Irst Bk & Tr|First Bank & Trust|Whitney|TX|
111908127|Irst Community Bk|First Community Bank, N.A.|Meridian|TX|
111908208|Mer Mt Pleasant|American National Bank|Mount Pleasant|TX|
111908512|Ommercial Palmer|Commercial State Bank|Palmer|TX|
111908583|Irst Trenton|First National Bank of Trenton|Trenton|TX|
111908949|Exas First Riesel|Texas First State Bank|Riesel|TX|
111908965|Itz St Bk Buffalo|Citizens State Bank|Buffalo|TX|
111909210|Merican State Bk|American State Bank|Arp|TX|
111909281|Irst Burleson|First National Bank of Burleson|Burleson|TX|
111909362|Ity Sulph Springs|City National Bk of Sulphur Springs|Sulphur Springs|TX|
111909391|Endera Bank, N.A.|Cendera Bank, N.A.|Bells|TX|
111909579|Bk Bank, Ssb|Tbk Bank, Ssb|Dallas|TX|
111909605|Innacle Bank|Pinnacle Bank|Azle|TX|
111909676|Outhstar Moulton|Southstar Bank, S.S.B.|Moulton|TX|
111909760|Iera Bank|Ciera Bank|Graham|TX|
111909825|Irst National Bk|First National Bank of Gilmer|Quitman|TX|
111909841|Idelity Bank|Fidelity Bank|Witchita Falls|TX|
111909870|Amar Natl Paris|Lamar National Bank|Paris|TX|
111909993|Itz St Bk Tyler|Citizens State Bank|Tyler|TX|
111910005|St State Temple|First State Bank Central Texas|Temple|TX|
111910092|Irst Groesbeck|Citizens State Bank|Buffalo|TX|
111910160|St Sec Cranfills|First Security State Bank|Cranfills Gap|TX|
111910267|Irst Bank Texas|First Bank Texas, Ssb|Bedford|TX|
111910445|Ladewater Natl|Gladewater National Bank|Gladewater|TX|
111910762|Itan Bank|Titan Bank, N.A.|Mineral Wells|TX|
111910856|Uaranty Bond Bk|Guaranty Bond Bank, Na|Mt Pleasant|TX|
111911033|St Hughes Springs|First Nat Bk of Hughes Springs, the|Hughes Springs|TX|
111911091|Ilgrim Bank|Pilgrim Bank|Iowa Park|TX|
111911156|Lliance Bk Texas|Alliance Bank Central Texas|Waco|TX|
111911321|Irst United Bk|First United Bank and Trust Company|Krum|TX|
111911965|Armers Newcastle|Farmers State Bank of Newcastle|Newcastle|TX|
111912090|Glesby St Bk|First National Bank of McGregor|Mcgregor|TX|
111912197|Ity Corsicana|City National Bank|Corsicana|TX|
111912401|Irst Bk & Tr|First Bank & Trust|Princeton|TX|
111912498|Th Bk Na|Bth Bank Na|Quitman|TX|
111912605|Irst St Bk Rice|First State Bank|Rice|TX|
111912744|Oodhaven Ftw|Pinnacle Bank|Keene|TX|
111913073|Irst Fairfield|Community National Bk & Tr of Texas|Fairfield|TX|
111913329|Nb Bosque County|First National Bank Bosque County|Valley Mills|TX|
111913688|Ilgrim Bank|Pilgrim Bank|Pittsburg|TX|
111913756|Rosperity Bk|Prosperity Bank|Teague|TX|
111913798|Irst Service Bk|Hibernia National Bk-Marshall Branch|Gladewater|TX|
111913879|Ex Hertg Cross Pl|Texas Heritage Bank|Boerne|TX|
111914218|Fin Weatherford|First Financial Bank, N.A.|Abilene|TX|
111914302|Irst Ore City|First National Bank of Gilmer|Gilmer|TX|
111914742|St St Bk Denton|Wells Fargo Bank, Denton Branch|Lewisville|TX|
111914849|Fin Southlake|First Financial Bank, N.A.|Abilene|TX|
111914852|An Bk La|Hanmi Bank|Los Angeles|CA|
111914878|Irst Evant|First National Bank of Evant, the|Evant|TX|
111914881|Ormangee St|Normangee State Bank|Normangee|TX|
111914917|Ommunity Longview|Community Bank|Longview|TX|
111915259|Merican First|American First National Bank|Bedford|TX|
111915327|Uaranty Bk Na|Guaranty Bank and Trust, Na|Mount Pleasant|TX|
111915398|Ainbank Red Oak|Mainbank|Red Oak|TX|
111915657|Andmark Bank|Southtrust Bank, Euless Branch|Euless|TX|
111915770|Irst Dublin|First National Bank of Dublin|Dublin|TX|
111916180|Eritage Pearland|Heritage Bank|Pearland|TX|
111916326|Ndp Bk McKinney|Independent Bank|Mckinney|TX|
111916436|Iberty Bank|Liberty Bank|Hurst|TX|
111916588|Exana Bank|Texana Bank, National Association|Linden|TX|
111916656|Eoples Bk Paris|Peoples Bank|Paris|TX|
111916698|Ank of De Soto|Bank of Desoto, N.A.|Desoto|TX|
111916724|K West Irving|Bank of the West|Grapevine|TX|
111916915|Pectra Bank|Spectra Bank|Fort Worth|TX|
111917309|Anger Bk Sanger|Sanger Bank|Sanger|TX|
111917367|Orsicana Nb & Tc|Community National Bk & Tr of Texas|Corsicana|TX|
111917574|Iera Bk|Ciera Bank|Graham|TX|
111917804|Ownbank Mesquite|First Mercantile Bk, Na Mesquite Br|Mesquite|TX|
111919433|Fin Mineral Wells|First Financial Bank, N.A.|Abilene|TX|
111920095|Irst St Rio Vista|Wells Fargo Rio Vista Branch|Rio Vista|TX|
111920312|Nnis State Bank|Ennis State Bank|Ennis|TX|
111920765|Orsicana Natl Bk|Community National Bk & Tr of Texas|Corsicana|TX|
111921230|Fin Cleburne|First Financial Bank, N.A.|Abilene|TX|
111921751|Fin Eastland|First Financial Bank, N.A.|Abilene|TX|
111922132|Outhstar Moulton|Southstar Bank, S.S.B.|Moulton|TX|
111922776|Omebank Tx|Homebank Texas|Seagoville|TX|
111923238|Exas Bk and Tr Co|Texas Bank and Trust Company|Longview|TX|
111923898|Irst St Mesquite|First State Bank|Mesquite|TX|
111924075|Orsicana Natl Bk|Community National Bk & Tr of Texas|Corsicana|TX|
111924127|Ndependent Bank|Independent Bank|Highland Village|TX|
111924143|Merican Nat Bk|American National Bank|Keller|TX|
111924237|Outhside Bank|Southside Bank|Fort Worth|TX|
111924282|Omm Natl Texarkan|Commercial National Bk of Texarkana|Texarkana|TX|
111924305|Irst Community Bk|First Community Bank, N.A.|Richardson|TX|
111924318|Eritex Cmnty Bk|Veritex Community Bank|Plano|TX|
111924350|Itz Henderson|Citizens National Bank|Henderson|TX|
111924363|Nterbank|Interbank|Oklahoma City|OK|
111924392|Nb Frisco|First National Bank of Omaha|Frisco|TX|
111924538|Exas Republic Bk|Texas Republic Bank, N.A.|Frisco|TX|
111924554|Pirit of Texas Bk|Spirit of Texas Bank, Ssb|College Station|TX|
111924619|Ank Snb|Bank Snb|Frisco|TX|
111924622|Orthington Natl|Worthington National Bank|Arlington|TX|
111924651|Eritex Comm Bk|Veritex Community Bank|Dallas|TX|
111924716|Rinity Bank, N.A.|Trinity Bank, N.A.|Fort Worth|TX|
111924787|Idelity Bank|Fidelity Bank|||
111924800|Nterbank|Interbank|Oklahoma City|OK|
111924994|Eritex Comm Bk|Veritex Community Bank|Dallas|TX|
111925032|Ank of the Ozarks|Bank of the Ozarks|Little Rock|AR|
111925045|St St Gainesville|First State Bank|Gainesville|TX|
111925058|Ndependent Bank|Independent Bank|Coppell|TX|
111925113|Exas Brand Bk|Texas Brand Bank|Garland|TX|
111925168|Ndependent Bank|Independent Bank|Waco|TX|
111925430|St Bank Texarkana|Farmers Bank & Trust Company|Texarkana|TX|
111925472|Exas Bk and Tr Co|Texas Bank and Trust Company|Longview|TX|
111925508|Mb Bk Na|Umb Bank, N.A.|Kansas City|MO|
111925634|Reen Bank|Green Bank, National Association|Richardson|TX|
111925744|Ccessbank Texas|Accessbank Texas|Denton|TX|
111925773|Ndependent Bank|Independent Bank|Mckinney|TX|
111925935|Iberty Capital Bk|Liberty Capital Bank|Addison|TX|
111993695|Irst Command Bk|First Command Bank|Fort Worth|TX|
111993747|Irst Gty Hammond|First Guaranty Bank|Hammond|LA|
111993776|Ash Mut Bank|Jpmorgan Chase Bank, Na|Seattle|WA|
111994063|Exans Cu Richards|Texans Credit Union|Richardson|TX|
111994115|Rovidence Bk Tx|Providence Bank of Texas, Ssb|Southlake|TX|
111994173|Eritex Comm Bk Na|Veritex Community Bank, Na|Irving|TX|
111994212|Lainscapital Bank|Plainscapital Bank|Dallas|TX|
112000011|Rb El Paso|Federal Reserve Bank|El Paso|TX|
112017619|Eststar Bank|Weststar Bank|El Paso|TX|
112024437|Nited Bk El Paso|United Bank of El Paso Del Norte|El Paso|TX|
112093808|Unflower Bk|Sunflower Bank National Association|Denver|CO|
112200439|Irst American|First American Bank|Artesia|NM|
112200620|Ames Polk Stone|The James Polk Stone Community Bank|Portales|NM|
112201218|Itizens Bk Clovis|Citizens Bank of Clovis|Clovis|NM|
112201975|Itizens Tucumcari|Citizens Bank|Tucumcari|NM|
112203038|Estern Alamogordo|Western Bank|Alamogordo|NM|
112203122|Alley Roswell|Valley Bank of Commerce|Roswell|NM|
112204286|Nb of Ruidoso|First National Bank|Ruidoso|NM|
112205340|Irst Silver City|First New Mexico Bank of Silver City|Silver City|NM|
112205764|Nb of Santa Fe|First National Bank of Santa Fe|Santa Fe|NM|
112206297|K Sw Roswell|Bank of the Southwest|Roswell|NM|
112206763|Estern Heritage|Western Heritage Bank|Las Cruces|NM|
112206776|He Bank of Clovis|Bank of Clovis, the|Clovis|NM|
112206792|Mer Heritage Clov|American Heritage Bank|Clovis|NM|
112304513|Irst Pecos|West Texas National Bank Pecos Br|Pecos|TX|
112304678|Tex N/b Alpine|West Texas National Bank|Midland|TX|
112304733|Ig Bend Bks Marfa|Big Bend Banks N.A.|Marfa|TX|
112306427|Arfa Nb Presidio|Big Bend Banks N.A.|Presidio|TX|
112306812|K Sierra Blanca|Bank of Sierra Blanca|Sierra Blanca|TX|
112307222|Irst Stanton|First Nat Bk of Stanton, the|Stanton|TX|
112311713|Atl Bk of Andrews|The National Bank of Andrews|Andrews|TX|
112313342|Estern Bank|Western Bank|Van Horn|TX|
112319524|Eststar Bank|Weststar Bank|El Paso|TX|
112320788|Ranspecos Banks|Transpecos Banks Ssb|Pecos|TX|
112321318|Ecos Cnty Ft Stoc|Pecos County State Bank, the|Fort Stockton|TX|
112321839|Est Tex Bk Odessa|West Texas State Bank|Odessa|TX|
112322074|Ermit St|West Texas State Bank Kermit Branch|Kermit|TX|
112322508|Outh W Bk Wink|Southwest Bank|Odessa|TX|
112322634|Ecurity Bank|Security Bank|Monahans|TX|
112323387|Irst Ft Stockton|First National Bank of Fort Stockton|Fort Stockton|TX|
112323594|Ejas Bank|Tejas Bank|Monahans|TX|
113000049|Rb Houston|Federal Reserve Bank|Houston|TX|
113000609|Pmchase Texas|Jpmorgan Chase Bank, Na|Houston|TX|
113000968|Hitney Bank|Whitney Bank|Gulfport|MS|
113001035|K Ozarks|Bank of the Ozarks|Little Rock|AR|
113001242|Nity Natl Bk Hous|Unity National Bank of Houston|Houston|TX|
113001255|Rosperity Bk|Prosperity Bank|Houston|TX|
113002186|Ayshore La Porte|Southtrust Bank La Porte Branch|La Porte|TX|
113002296|Apital Bk Houston|Capital Bank|Houston|TX|
113002908|Aytown State|Southwest Bk of Texas Baytown Br|Baytown|TX|
113003130|Hitney Bank|Whitney Bank|New Orleans|LA|
113003347|Mer Bk Hous|Whitney National Bank Houston Branch|New Orleans|LA|
113003392|Irst Bank Tomball|Regions Bank|Tomball|TX|
113005264|X Ind-Pasadena|Southwest Bk of Texas Pasadena Br|Pasadena|TX|
113005549|Omerica Bank|Comerica Bank|Houston|TX|
113007835|Anco Popular Na|Banco Popular North America|Houston|TX|
113008083|Rosperity Bk Elca|Prosperity Bank|El Campo|TX|
113008465|Oodforest N/b Hou|Woodforest National Bank|Houston|TX|
113009341|Ndependent Bk|Independent Bank|Mckinney|TX|
113009590|Learlake Hous|Sterling Bank-Houston Branch|Houston|TX|
113010547|Ompass Bank N a|Compass Bank|Houston|TX|
113011119|Ost Oak Bank|Post Oak Bank, N.A.|Houston|TX|
113011245|Np Paribas Hous|Bnp Paribas, Houston Agency|Houston|TX|
113011258|Megy Bank|Zb Na Dba Amegy Bank|Houston|TX|
113011591|Iverway Bk Hous|Texas State Bank, Houston Branch|Houston|TX|
113012163|Hasewood Bk Hous|Chasewood Bank|Houston|TX|
113012215|Ndep Bk Houston|Regions Bank|Houston|TX|
113012419|Ommunity Bk Katy|Sterling Bank, Katy Branch|Katy|TX|
113012503|W Bk Smrino|East West Bank|Houston|TX|
113012956|Itz Natl Bellaire|Bank of Texas Bellaire Branch|Bellaire|TX|
113013117|Exas First Bank|Texas First Bank|Pasadena|TX|
113015429|Ommunity Bk Tx Cr|Community Bank of Texas, N.A.|Houston|TX|
113015500|Olden Bk Na Hous|Golden Bank, Na|Houston|TX|
113015759|One Star Highland|Sterling Bank, Highland Branch|Houston|TX|
113017346|W Bk Smrino|East West Bank|Pasadena|CA|
113017883|Ank of Tanglewood|Bank of Texas, N.A. - Houston Branch|Houston|TX|
113019920|Itz B&T Baytown|Southwest Bk of Texas Baytown Br|Baytown|TX|
113023990|St Com Bk Woodlan|First Community Bank Fort Bend, N.A.|Tomball|TX|
113024009|W Natl Bank Hous|Southwestern National Bank|Houston|TX|
113024096|Llegiance Bank Tx|Allegiance Bank Texas|Houston|TX|
113024106|Mer Fst Natl Hous|American First National Bank|Houston|TX|
113024164|Reen Bk Houston|Green Bank, National Association|Houston|TX|
113024274|Rosperity Bk Hous|Prosperity Bank|Houston|TX|
113024504|Rosperity Bk|Prosperity Bank|Bellaire|TX|
113024517|Llegiance Bk Tx|Allegiance Bank Texas|Houston|TX|
113024672|Bva Bancomer,s.A.|Bbva Bancomer, S.A.|Houston|TX|
113024957|Ost Oak Bank|Post Oak Bank, N.A.|Houston|TX|
113025147|Ndependent Bank|Independent Bank|Mckinney|TX|
113025150|Reen Bk Houston|Green Bank, National Association|Houston|TX|
113025231|K of River Oaks|Bank of River Oaks, the|Houston|TX|
113025260|Exas Citizens Bk|Texas Citizens Bank, N.A.|Pasadena|TX|
113025299|One Star Bank|Lone Star Bank|Houston|TX|
113025422|Con Bank|Icon Bank of Texas, N.A.|Houston|TX|
113025480|Estbound Bk Katy|Westbound Bank|Katy|TX|
113025723|Llegiance Bank|Allegiance Bank|Houston|TX|
113025765|K of Nova Scotia|The Bank of Nova Scotia|Houston|TX|
113025804|Emorial City Bank|Communitybank of Texas, Na|Beaumont|TX|
113025972|Int National Bank|Mint National Bank, the|Kingwood|TX|
113026023|Exas First Bank|Texas First Bank|Houston|TX|
113093852|Fbsc Houston Tx|Wells Fargo Bank South Central, Na|Houston|TX|
113093881|Izari Progressive|Nizari Progressive Fcu|Sugar Land|TX|
113094084|Pirit of Texas Bk|Spirit of Texas Bank, Ssb|Houston|TX|
113094136|Ntegrity Bank Ssb|Integrity Bank, Ssb|Houston|TX|
113094149|Hird Coast Ssb|Third Coast Bank Ssb|Humble|TX|
113100091|Oody National Bk|Moody National Bank|Galveston|TX|
113100570|Ometown Bk Galves|Hometown Bank, N.A.|Galveston|TX|
113100745|Itz Palestine|Citizens National Bank|Palestine|TX|
113101773|Redonia Nacogdoch|Bancorpsouth Bank Nacogdoches|Nacogdoches|TX|
113102329|St Amer Bk Bryan|First American Bank, Ssb|Bryan|TX|
113102442|Irst Community Bk|First Community Bank, N.A.|Crockett|TX|
113102552|Rosperity Elcafr|Prosperity Bank|El Campo|TX|
113103182|Xpress Bank Alvin|First Community Bank, Alvin Branch|Alvin|TX|
113103276|Ustin Bk Na Jacks|Austin Bank, Texas National Assn|Jacksonville|TX|
113103438|Ufkin Natl Bank|Regions Bank South First Street Br.|Tyler|TX|
113103687|Irst Bellville|First National Bk of Bellville, the|Bellville|TX|
113103726|Ommunity Bk Beau|Texas State Bank|Beaumont|TX|
113103797|Ista Bank Texas|Communitybank of Texas, Na|Beaumont|TX|
113104000|Irst Huntsville|First National Bank of Huntsville|Huntsville|TX|
113104534|Bt La Grange|National Bank & Trust|La Grange|TX|
113104796|Irst El Campo|Newfirst National Bank|El Campo|TX|
113104806|Om St Bk El Campo|Commercial State Bank|El Campo|TX|
113104880|Irst Eagle Lake|First National Bank of Eagle Lake|Eagle Lake|TX|
113105070|Armers St Center|Farmers State Bank|Center|TX|
113105368|Eritage Wharton|First Prosperity Bank Wharton Branch|Wharton|TX|
113105452|Irst Livingston|First National Bk of Livingston, the|Livingston|TX|
113105478|Rosperity Bk|Prosperity Bank|Madisonville|TX|
113106309|X First Bk Galv|Texas First Bank|Galveston|TX|
113106532|Ovelady State Bk|Lovelady State Bank|Lovelady|TX|
113106833|Irst Shiner|First National Bank of Shiner, the|Shiner|TX|
113106985|Pirit of Texas Bk|Spirit of Texas Bank, Ssb|College Station|TX|
113107010|Exas First Bank|Texas First Bank|Santa Fe|TX|
113107162|Nahuac Natl|Anahuac National Bank|Anahuac|TX|
113107515|Ill Bk & Trust Co|Hill Bank & Trust Co|Weimar|TX|
113108815|Itizens Victoria|First St Bk of Tx Victoria Branch|Victoria|TX|
113109128|Ec State Anahuac|Post Oak Bank, N.A.|Houston|TX|
113109377|Irst St Bedias|First State Bank of Bedias|Bedias|TX|
113109830|Urton State Bk|Burton State Bank|Burton|TX|
113110243|Ayton State Bk|Paradigm Bank Texas Daytona Branch|Dayton|TX|
113110256|Exas First Bank|Texas First Bank|Texas City|TX|
113110337|St St Colmesneil|Community Bank & Trust Colmesneil Br|Colmesneil|TX|
113110612|Ustin Bk Na|Austin Bank, Texas National Assn|Frankston|TX|
113110641|Itizens St Ganado|Citizens State Bank|Ganado|TX|
113110654|Razo N/b Richwood|Brazos National Bank|Richwood|TX|
113111080|Ommunity St Hous|First Community Bank, N.A.|Houston|TX|
113111983|Ommunitybank Tx|Communitybank of Texas, Na|Beaumont|TX|
113112995|Itizens State Bk|Citizens State Bank|Somerville|TX|
113113237|Reen Bk Houston|Green Bank, National Association|Houston|TX|
113113318|Exas Nb Brenham|First State Bk of Texas Brenham Br|Brenham|TX|
113113868|Irst Natl Trinity|First National Bank|Trinity|TX|
113114294|Omm Nacogdoches|Commercial Bank of Texas, N.A.|Nacogdoches|TX|
113114647|Fin Abilene|First Financial Bank, N.A.|Conroe|TX|
113115484|Ex Gulf Freeport|Texas Gulf Bank, N.A.|Houston|TX|
113115617|Ex Natl Jax|Texas National Bank|Jacksonville|TX|
113116292|Ioneer Bank, Ssb|Pioneer Bank, Ssb|La Grange|TX|
113116920|Range Svgs Bk Tex|Orange Savings Bank, Ssb|Mauriceville|TX|
113117194|Renham Natl Bank|Brenham National Bank, the|Brenham|TX|
113117411|Ayetteville Bk|Fayetteville Bank|Fayetteville|TX|
113117767|St Comm Pearland|Wells Fargo Bank, N.A. (Texas)|Houston|TX|
113118326|Exas First Bank|Texas First Bank|Texas City|TX|
113118630|Olumbus State Bk|Columbus State Bank|Columbus|TX|
113119396|Itizens 1st Bk|Citizens 1st Bank|Tyler|TX|
113119985|Outhstar Moulton|Southstar Bank, S.S.B.|Moulton|TX|
113120291|Eoples St-Shep|Peoples State Bank|Shepherd|TX|
113121135|X St Joaquin|Texas State Bank|Lufkin|TX|
113121384|Eo St Halletsvil|Peoples State Bank of Hallettsville|Hallettsville|TX|
113121876|Irst St Jasper|First Bank & Trust East Tx Jasper Br|Jasper|TX|
113121902|Om St Bk El Campo|Commercial State Bank of El Campo|El Paso|TX|
113122082|St St-Hemphill|First State Bank|Hemphill|TX|
113122655|Rosperity Bk Elca|Prosperity Bank|El Campo|TX|
113122804|Irst B&T Diboll|First Bank and Trust East Texas|Diboll|TX|
113122956|Eague City Bk Tr|Maxim Bank League City Branch|League City|TX|
113123191|Ineland St Bk|First Bank and Trust Pineland Branch|Pineland|TX|
113123405|X First Bk Winnie|Texas First Bank|Winnie|TX|
113123528|Ridge Ci St Bridg|Bridge City State Bank|Bridge City|TX|
113123560|Irst Jasper|First National Bank of Jasper|Jasper|TX|
113123719|Exas First Hitchc|Texas First Bank-Hitchcock|Hitchcock|TX|
113124446|K of Brenham|Bank of Brenham Na|Brenham|TX|
113124598|Pirit of Texas Bk|Spirit of Texas Bank, Ssb|College Station|TX|
113124637|Fin Huntsville|First Financial Bank, N.A.|Abilene|TX|
113124941|Mer Momentum Bk|American Momentum Bank|College Station|TX|
113125254|K and Tr Bry-Coll|Bank and Trust of Bryan-College Stat|Bryan|TX|
113125380|Ioneer Bank Ssb|Pioneer Bank, Ssb|Dripping Springs|TX|
113125445|X Advantage Comm|Texas Advantage Community Bank, Na|Alvin|TX|
113125995|Mer Momentum Bk|American Momentum Bank|College Station|TX|
113193532|Itibank|Citibank, N.A.|Bryan|TX|
113194159|Ista Bank Texas|Vista Bank Texas|Sugar Land|TX|
113194162|Exan Bank, Na|Texan Bank, Na|Sugar Land|TX|
113194256|K & Tr of Bryan|Bank and Trust of Bryan-College Stat|Bryan|TX|
114000093|Rost Bank|Frost Bank|San Antonio|TX|
114000653|Oa Military Sant|Bank of America, N.A., Military Bank|San Antonio|TX|
114000721|Rb San Antonio|Federal Reserve Bank|San Antonio|TX|
114000763|Efferson Bk Sa|Jefferson Bank|San Antonio|TX|
114000844|Amino Real Bk Sa|Sterling Bank San Antonio Branch|San Antonio|TX|
114011011|Exas Comnty Bk|Texas Community Bank|Laredo|TX|
114017112|Exstar Natl Bank|Texstar National Bank|Universal City|TX|
114017714|Oa Military Ovsea|Bank of America Military Bk Overseas|San Antonio|TX|
114024260|One Star Cap Bkna|Lone Star Capital Bank, Na|San Antonio|TX|
114024969|Irst Comm Bk N.A.|First Community Bank, N.A.|Houston|TX|
114025599|Irst Nat Bk Sonor|First National Bank of Sonora, the|San Antonio|TX|
114025641|K San Antonio Tx|Bank of San Antonio, the|San Antonio|TX|
114026103|Ank of Austin|Bank of Austin, the|Austin|TX|
114093628|Irstmark Cu|Firstmark Credit Union|San Antonio|TX|
114900313|Aredo Natl|Compass Bank|Laredo|TX|
114900685|Erc Bk Brownsvile|Wells Fargo Brownsville Branch|Brownsville|TX|
114901370|Ank & Trust Ssb|Bank & Trust, Ssb, the|Del Rio|TX|
114901859|Ity Natl Taylor|City National Bank of Taylor, the|Taylor|TX|
114902612|Bc Eagle Pass Na|International Bank of Commerce|San Antonio|TX|
114902683|St St San Diego|First State Bank of San Diego|San Diego|TX|
114902874|Irst Victoria|First Victoria National Bank|New Braunfels|TX|
114903174|Ondo Natl|Hondo National Bank, the|Hondo|TX|
114904102|Ueces Corpus|First National Bk, Corpus Christi Br|Corpus Christi|TX|
114904746|Irst Tx Rd Rock|First Texas Bank|Round Rock|TX|
114904937|Irst St Granger|First State Bank Central|Granger|TX|
114904953|Irst Bastrop|The First National Bank of Bastrop|Bastrop|TX|
114905499|Ommercial Mason|Commercial Bank, the|Mason|TX|
114905509|Ason Bank|Mason Bank|Mason|TX|
114905813|Bc Bk Luling|Nbc Bank Luling Branch|Luling|TX|
114907387|St St Burnet|First State Bank of Burnet|Burnet|TX|
114907633|Itizens St Roma|Citizens State Bank|Roma|TX|
114908289|Irst Community Bk|First Community Bank|San Benito|TX|
114909013|Ompass Bk McAllen|Compass Bank|Mcallen|TX|
114909165|Ommunity Hondo|Community National Bank|Hondo|TX|
114909220|Mer Bk Marble Fal|American Bank of Texas|Marble Falls|TX|
114909482|Exas Regional Bk|Texas Regional Bank|Harlingen|TX|
114909903|Ommerce Laredo|Commerce Bank|Laredo|TX|
114910141|Ndependent Bank|Independent Bank|Coupland|TX|
114910523|Alls City Natl|Falls City National Bank|Falls City|TX|
114910565|Nion St Florence|Union State Bank|Florence|TX|
114910918|Tascosa Pleasantn|Atascosa National Bank|Pleasanton|TX|
114911234|Arnes Co Natl|Karnes County National Bank|Karnes City|TX|
114911519|Ytle St Bk|Lytle State Bank|Lytle|TX|
114911577|Arion St Bk|Marion State Bank|Marion|TX|
114911580|Bc Brownsville|International Bank of Commerce|Brownsville|TX|
114911616|Exas Regional Bk|Texas Regional Bank|Harlingen|TX|
114911807|Irst Alice|First Community Bank|Corpus Christi|TX|
114912013|Eritage Nixon|Heritage Bank|Pearland|TX|
114912233|Ondo Natl|The Hondo National Bank|Hondo|TX|
114912479|Irst So Padre Is|First National Bank of South Padre I|South Padre Island|TX|
114912589|Antage Bank Tx|Vantage Bank Texas|San Antonio|TX|
114912686|Leberg Bank, N.A.|Kleberg Bank, N.A.|Kingsville|TX|
114912709|Bc Zapata|International Bank of Commerce|San Antonio|TX|
114912848|Ecos Cty St Bk|Pecos County State Bank|Sanderson|TX|
114913711|Age Capital|Sage Capital Bank, N.A.|Gonzales|TX|
114914040|Ound Top State|Round Top State Bank|Jarrell|TX|
114914516|Ommunity Nat Bk|Community National Bank|Lacoste|TX|
114914710|Irst Woodsboro|First National Bank of Woodsboro|Woodsboro|TX|
114914723|Ank of Alice|Texas Champion Bank|Alice|TX|
114914817|Chwertner St Bk|Schwertner State Bank|Round Rock|TX|
114915447|Io Natl McAllen|Rio Bank|Mcallen|TX|
114915803|Alcon Nb Laredo|Falcon International Bank|Laredo|TX|
114916019|Irst Hebbronville|First Natl Bank of Hebbronville, the|Hebbronville|TX|
114916103|Chertz B&T|Schertz Bank & Trust|Schertz|TX|
114916239|Alburg St Bk|First State Bk of Tx Georgetown Br|Georgetown|TX|
114916446|Exas Heritage Bk|Regions Bank Hutto Branch|Hutto|TX|
114916488|Itz State Luling|Citizens State Bank of Luling|Luling|TX|
114916705|St St Three River|First State Bank of Texas|Three Rivers|TX|
114917092|One Star Capital|Lone Star Capital Bank, Na|San Antonio|TX|
114917157|K of South Tx|Bank of South Texas|Mcallen|TX|
114917267|Antage Bank Tx|Vantage Bank Texas|San Antonio|TX|
114917319|Ecurity Bank|Security Bank|Devine|TX|
114917335|Exas Regional Bk|Texas Regional Bank|Harlingen|TX|
114917733|Reaty Oak Bank|Treaty Oak Bank|Austin|TX|
114917814|Bc Austin|American Bank of Commerce|Austin|TX|
114917908|Outhtrust Bk, N.A|Southtrust Bank, N.A.|George West|TX|
114917924|Irst St Yoakum|First State Bank|Yoakum|TX|
114918143|Bank|R Bank|Round Rock|TX|
114919281|Ranger Natl|Granger National Bank|Granger|TX|
114920128|Exas Nb Mercedes|Texas National Bank|Mercedes|TX|
114920526|Rrowhead Bk Llano|Arrowhead Bank|Llano|TX|
114921415|Lainscapital Bank|Plainscapital Bank|Dallas|TX|
114921622|Ommerce Bank Texa|Commerce Bank Texas|Stockdale|TX|
114921761|Unction Natl|Junction National Bank|Junction|TX|
114921842|Ecurity State Bk|Security State Bank|Devine|TX|
114921981|Irst Comm Seguin|First Commercial Bank, N.A.|Seguin|TX|
114922003|Eople Rocksprings|Peoples State Bank|Rocksprings|TX|
114922265|St St Odem|First State Bank of Odem|Odem|TX|
114922430|Irst St Junction|First State Bank|Junction|TX|
114922443|Ioneer Bank Ssb|Pioneer Bank, Ssb|Dripping Springs|TX|
114923329|Rush Country Bank|Brush Country Bank|Freer|TX|
114923756|Apata Natl|Zapata National Bank|Zapata|TX|
114923976|Harter Bk Cc|Charter Bank|Corpus Christi|TX|
114924014|Rosperity Bank|Prosperity Bank|Austin|TX|
114924111|Omerica Bank|Comerica Bank|Kerrville|TX|
114924182|Irst Community Bk|First Community Bank, Na|San Benito|TX|
114924690|Apital Bank of Tx|Capital Bank of Texas|Carrizo Springs|TX|
114924700|Arm Credit Bk, Tx|Farm Credit Bank of Texas|Austin|TX|
114924810|Exas Comm Bk|Texas Community Bank|Somerset|TX|
