CompanyName|CreatedDate
Enterprise Products Partners L.P.|2019-06-23
EOG Resources, Inc.|2019-06-23
Equifax Inc.|2019-06-23
Equitable Resources Inc.|2019-06-23
Equity Office Properties Trust|2019-06-23
Equity Residential Properties Trust|2019-06-23
Estee Lauder Companies Inc.|2019-06-23
Exelon Corporation|2019-06-23
Exide Technologies|2019-06-23
Expeditors International of Washington Inc.|2019-06-23
Express Scripts Inc.|2019-06-23
ExxonMobil Corporation|2019-06-23
Fairchild Semiconductor International Inc.|2019-06-23
Family Dollar Stores Inc.|2019-06-23
Farmland Industries Inc.|2019-06-23
Federal Mogul Corp.|2019-06-23
Federated Department Stores Inc.|2019-06-23
Federal Express Corp.|2019-06-23
Felcor Lodging Trust Inc.|2019-06-23
Ferro Corp.|2019-06-23
Fidelity National Financial Inc.|2019-06-23
Fifth Third Bancorp|2019-06-23
First American Financial Corp.|2019-06-23
First Data Corp.|2019-06-23
First National of Nebraska Inc.|2019-06-23
First Tennessee National Corp.|2019-06-23
FirstEnergy Corp.|2019-06-23
Fiserv Inc.|2019-06-23
Fisher Scientific International Inc.|2019-06-23
FleetBoston Financial Co.|2019-06-23
Fleetwood Enterprises Inc.|2019-06-23
Fleming Companies Inc.|2019-06-23
Flowers Foods Inc.|2019-06-23
Flowserv Corp|2019-06-23
Fluor Corp|2019-06-23
FMC Corp|2019-06-23
Foamex International Inc|2019-06-23
Foot Locker Inc|2019-06-23
Footstar Inc.|2019-06-23
Ford Motor Co|2019-06-23
Forest Laboratories Inc.|2019-06-23
Fortune Brands Inc.|2019-06-23
Foster Wheeler Ltd.|2019-06-23
FPL Group Inc.|2019-06-23
Franklin Resources Inc.|2019-06-23
Freeport McMoran Copper & Gold Inc.|2019-06-23
Frontier Oil Corp|2019-06-23
Furniture Brands International Inc.|2019-06-23
Gannett Co., Inc.|2019-06-23
Gap Inc.|2019-06-23
Gateway Inc.|2019-06-23
GATX Corporation|2019-06-23
Gemstar-TV Guide International Inc.|2019-06-23
GenCorp Inc.|2019-06-23
General Cable Corporation|2019-06-23
General Dynamics Corporation|2019-06-23
General Electric Company|2019-06-23
General Mills Inc|2019-06-23
General Motors Corporation|2019-06-23
Genesis Health Ventures Inc.|2019-06-23
Gentek Inc.|2019-06-23
Gentiva Health Services Inc.|2019-06-23
Genuine Parts Company|2019-06-23
Genuity Inc.|2019-06-23
Genzyme Corporation|2019-06-23
Georgia Gulf Corporation|2019-06-23
Georgia-Pacific Corporation|2019-06-23
Gillette Company|2019-06-23
