CompanyName|CreatedDate
Shaw Group Inc|2019-06-23
Sherwin-Williams Company|2019-06-23
Shopko Stores Inc|2019-06-23
Siebel Systems Inc|2019-06-23
Sierra Health Services Inc|2019-06-23
Sierra Pacific Resources|2019-06-23
Silgan Holdings Inc.|2019-06-23
Silicon Graphics Inc|2019-06-23
Simon Property Group Inc|2019-06-23
SLM Corporation|2019-06-23
Smith International Inc|2019-06-23
Smithfield Foods Inc|2019-06-23
Smurfit-Stone Container Corp|2019-06-23
Snap-On Inc|2019-06-23
Solectron Corp|2019-06-23
Solutia Inc|2019-06-23
Sonic Automotive Inc.|2019-06-23
Sonoco Products Co.|2019-06-23
Southern Company|2019-06-23
Southern Union Company|2019-06-23
SouthTrust Corp.|2019-06-23
Southwest Airlines Co|2019-06-23
Southwest Gas Corp|2019-06-23
Sovereign Bancorp Inc.|2019-06-23
Spartan Stores Inc|2019-06-23
Spherion Corp|2019-06-23
Sports Authority Inc|2019-06-23
Sprint Corp.|2019-06-23
SPX Corp|2019-06-23
St. Jude Medical Inc|2019-06-23
St. Paul Cos.|2019-06-23
Staff Leasing Inc.|2019-06-23
StanCorp Financial Group Inc|2019-06-23
Standard Pacific Corp.|2019-06-23
Stanley Works|2019-06-23
Staples Inc|2019-06-23
Starbucks Corp|2019-06-23
Starwood Hotels & Resorts Worldwide Inc|2019-06-23
State Street Corp.|2019-06-23
Stater Bros. Holdings Inc.|2019-06-23
Steelcase Inc|2019-06-23
Stein Mart Inc|2019-06-23
Stewart & Stevenson Services Inc|2019-06-23
Stewart Information Services Corp|2019-06-23
Stilwell Financial Inc|2019-06-23
Storage Technology Corporation|2019-06-23
Stryker Corp|2019-06-23
Sun Healthcare Group Inc.|2019-06-23
Sun Microsystems Inc.|2019-06-23
SunGard Data Systems Inc.|2019-06-23
Sunoco Inc.|2019-06-23
SunTrust Banks Inc|2019-06-23
Supervalu Inc|2019-06-23
Swift Transportation, Co., Inc|2019-06-23
Symbol Technologies Inc|2019-06-23
Synovus Financial Corp.|2019-06-23
Sysco Corp|2019-06-23
Systemax Inc.|2019-06-23
Target Corp.|2019-06-23
Tech Data Corporation|2019-06-23
TECO Energy Inc|2019-06-23
Tecumseh Products Company|2019-06-23
Tektronix Inc|2019-06-23
Teleflex Incorporated|2019-06-23
Telephone & Data Systems Inc|2019-06-23
Tellabs Inc.|2019-06-23
Temple-Inland Inc|2019-06-23
Tenet Healthcare Corporation|2019-06-23
Tenneco Automotive Inc.|2019-06-23
Teradyne Inc|2019-06-23
Terex Corp|2019-06-23
Tesoro Petroleum Corp.|2019-06-23
Texas Industries Inc.|2019-06-23
Texas Instruments Incorporated|2019-06-23
Textron Inc|2019-06-23
Thermo Electron Corporation|2019-06-23
Thomas & Betts Corporation|2019-06-23
Tiffany & Co|2019-06-23
Timken Company|2019-06-23
TJX Companies Inc|2019-06-23
TMP Worldwide Inc|2019-06-23
Toll Brothers Inc|2019-06-23
Torchmark Corporation|2019-06-23
Toro Company|2019-06-23
Tower Automotive Inc.|2019-06-23
Toys 'R' Us Inc|2019-06-23
Trans World Entertainment Corp.|2019-06-23
TransMontaigne Inc|2019-06-23
Transocean Inc|2019-06-23
TravelCenters of America Inc.|2019-06-23
Triad Hospitals Inc|2019-06-23
Tribune Company|2019-06-23
Trigon Healthcare Inc.|2019-06-23
Trinity Industries Inc|2019-06-23
Trump Hotels & Casino Resorts Inc.|2019-06-23
TruServ Corporation|2019-06-23
TRW Inc|2019-06-23
TXU Corp|2019-06-23
Tyson Foods Inc|2019-06-23
U.S. Bancorp|2019-06-23
U.S. Industries Inc.|2019-06-23
UAL Corporation|2019-06-23
UGI Corporation|2019-06-23
Unified Western Grocers Inc|2019-06-23
Union Pacific Corporation|2019-06-23
Union Planters Corp|2019-06-23
Unisource Energy Corp|2019-06-23
Unisys Corporation|2019-06-23
United Auto Group Inc|2019-06-23
United Defense Industries Inc.|2019-06-23
United Parcel Service Inc|2019-06-23
United Rentals Inc|2019-06-23
United Stationers Inc|2019-06-23
United Technologies Corporation|2019-06-23
UnitedHealth Group Incorporated|2019-06-23
Unitrin Inc|2019-06-23
Universal Corporation|2019-06-23
Universal Forest Products Inc|2019-06-23
Universal Health Services Inc|2019-06-23
Unocal Corporation|2019-06-23
Unova Inc|2019-06-23
UnumProvident Corporation|2019-06-23
URS Corporation|2019-06-23
US Airways Group Inc|2019-06-23
US Oncology Inc|2019-06-23
USA Interactive|2019-06-23
USFreighways Corporation|2019-06-23
USG Corporation|2019-06-23
UST Inc|2019-06-23
Valero Energy Corporation|2019-06-23
Valspar Corporation|2019-06-23
Value City Department Stores Inc|2019-06-23
Varco International Inc|2019-06-23
Vectren Corporation|2019-06-23
Veritas Software Corporation|2019-06-23
Verizon Communications Inc|2019-06-23
VF Corporation|2019-06-23
Viacom Inc|2019-06-23
Viad Corp|2019-06-23
Viasystems Group Inc|2019-06-23
Vishay Intertechnology Inc|2019-06-23
Visteon Corporation|2019-06-23
Volt Information Sciences Inc|2019-06-23
Vulcan Materials Company|2019-06-23
W.R. Berkley Corporation|2019-06-23
W.R. Grace & Co|2019-06-23
W.W. Grainger Inc|2019-06-23
Wachovia Corporation|2019-06-23
Wakenhut Corporation|2019-06-23
Walgreen Co|2019-06-23
Wallace Computer Services Inc|2019-06-23
Wal-Mart Stores Inc|2019-06-23
Walt Disney Co|2019-06-23
Walter Industries Inc|2019-06-23
Washington Mutual Inc|2019-06-23
Washington Post Co.|2019-06-23
Waste Management Inc|2019-06-23
Watsco Inc|2019-06-23
Weatherford International Inc|2019-06-23
Weis Markets Inc.|2019-06-23
Wellpoint Health Networks Inc|2019-06-23
Wells Fargo & Company|2019-06-23
Wendy's International Inc|2019-06-23
Werner Enterprises Inc|2019-06-23
WESCO International Inc|2019-06-23
Western Digital Inc|2019-06-23
Western Gas Resources Inc|2019-06-23
WestPoint Stevens Inc|2019-06-23
Weyerhauser Company|2019-06-23
WGL Holdings Inc|2019-06-23
Whirlpool Corporation|2019-06-23
Whole Foods Market Inc|2019-06-23
Willamette Industries Inc.|2019-06-23
Williams Companies Inc|2019-06-23
Williams Sonoma Inc|2019-06-23
Winn Dixie Stores Inc|2019-06-23
Wisconsin Energy Corporation|2019-06-23
Wm Wrigley Jr Company|2019-06-23
World Fuel Services Corporation|2019-06-23
WorldCom Inc|2019-06-23
Worthington Industries Inc|2019-06-23
WPS Resources Corporation|2019-06-23
Wyeth|2019-06-23
Wyndham International Inc|2019-06-23
Xcel Energy Inc|2019-06-23
Xerox Corp|2019-06-23
Xilinx Inc|2019-06-23
XO Communications Inc|2019-06-23
Yellow Corporation|2019-06-23
York International Corp|2019-06-23
Yum Brands Inc.|2019-06-23
Zale Corporation|2019-06-23
Zions Bancorporation|2019-06-23
